label	message
ham	Boy you best get yo ass out here quick
spam	and we'll check your credit score and send you a check in no time.
ham	This is all just creepy and crazy to me.
ham	Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx
ham	here in the suburbs of Edmonton, B.C., to get on the bus. It's a bit intimidating to do, but you can still do some extra work.    The company
ham	I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
ham	Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
ham	Ranjith cal drpd Deeraj and deepak 5min hold
spam	a FREE 4-week trial! Enter your email below and we'll send you a FREE trial. Just fill out the form below and we'll send you a free
spam	the tournament.   For the full text please select the link below. To view the tournament live click here.
ham	That was random saw my old roomate on campus. He graduated
ham	, I can tell you that my life has changed. For me now I know I am struggling, and I will have no answers to your questions, but I will be sure that there will be more
ham	How much i gave to you. Morning.
ham	R u still working now?
ham	Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?
ham	tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?
ham	Will do, you gonna be at blake's all night? I might be able to get out of here a little early
ham	? (laughs)
ham	For fear of fainting with the of all that housework you just did? Quick have a cuppa
ham	What u talking bout early morning? It's almost noon where your at!
ham	at the local pub.    I think the reason the pub is in Dublin was the site of the First World War. The location of the Irish Pub was created in the 18th
ham	Arun can u transfr me d amt
ham	Spoons it is then okay?
ham	? is this a good idea for me. I hope your friends in the community have a good time. I hope this helps out a lot of those who have been watching and would like to thank you
spam	Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
ham	They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?
ham	Haha... They cant what... At the most tmr forfeit... haha so how?
ham	Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash
ham	Hey anyway i have to :-)
ham	Oh my God. I'm almost home
spam	UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
spam	.    If you want to make your gift a success (or a failure) make sure you make sure you're a happy one. Once you make a gift, you can choose
ham	, you will be able to download and play games in a game, and that’s exactly what we are doing’ if we are going to do so,’s exactly what we
ham	I've reached already.
ham	Great escape. I fancy the bridge but needs her lager. See you tomo 
ham	in our small apartment in Seattle's Westlake neighborhood and head to San Francisco. We'll find out if we can be friends. We've got another place to stay,
ham	Yeah we wouldn't leave for an hour at least, how's 4 sound?
ham	Yes watching footie but worried we're going to blow it - Phil Neville?
ham	today. It seems that many people with diabetes have a difficult time getting the help they need or who are forced to resort to drugs in order to get the help they need
